Model,Dataset,Samples,SuccessExec,Pass@1_TRUE,Runnable_FALSE,SuccessExecRate,Pass@1_Rate,Runnable_FALSE_Rate
codellama/CodeLlama-7b-Instruct-hf,./datasets/humanEval/HumanEval.jsonl,164,139,61,78,0.848,0.372,0.476
codellama/CodeLlama-7b-Instruct-hf,./mutations/humanEval_lv_with_tests.jsonl,164,134,48,86,0.817,0.293,0.524
codellama/CodeLlama-7b-Instruct-hf,./mutations/humanEval_SF_with_tests.jsonl,164,144,61,83,0.878,0.372,0.506
codellama/CodeLlama-7b-Instruct-hf,./mutations/HumanEval_US_with_tests.jsonl,164,149,48,101,0.909,0.293,0.616
codellama/CodeLlama-7b-Instruct-hf,./datasets/mbpp/mbpp.jsonl,974,703,324,379,0.722,0.333,0.389
codellama/CodeLlama-7b-Instruct-hf,./mutations/mbpp_LV_with_tests.jsonl,974,678,304,374,0.696,0.312,0.384
codellama/CodeLlama-7b-Instruct-hf,./mutations/mbpp_SF_with_tests.jsonl,974,703,328,375,0.722,0.337,0.385
codellama/CodeLlama-7b-Instruct-hf,./mutations/mbpp_US_with_tests.jsonl,974,646,261,385,0.663,0.268,0.395
deepseek-ai/deepseek-coder-6.7b-instruct,./datasets/humanEval/HumanEval.jsonl,164,159,119,40,0.97,0.726,0.244
deepseek-ai/deepseek-coder-6.7b-instruct,./mutations/humanEval_lv_with_tests.jsonl,164,157,99,58,0.957,0.604,0.354
deepseek-ai/deepseek-coder-6.7b-instruct,./mutations/humanEval_SF_with_tests.jsonl,164,154,113,41,0.939,0.689,0.25
deepseek-ai/deepseek-coder-6.7b-instruct,./mutations/HumanEval_US_with_tests.jsonl,164,154,94,60,0.939,0.573,0.366
deepseek-ai/deepseek-coder-6.7b-instruct,./datasets/mbpp/mbpp.jsonl,974,759,430,329,0.779,0.441,0.338
deepseek-ai/deepseek-coder-6.7b-instruct,./mutations/mbpp_LV_with_tests.jsonl,974,734,405,329,0.754,0.416,0.338
deepseek-ai/deepseek-coder-6.7b-instruct,./mutations/mbpp_SF_with_tests.jsonl,974,749,424,325,0.769,0.435,0.334
deepseek-ai/deepseek-coder-6.7b-instruct,./mutations/mbpp_US_with_tests.jsonl,974,691,353,338,0.709,0.362,0.347
Qwen/Qwen2.5-Coder-7B-Instruct,./datasets/humanEval/HumanEval.jsonl,164,160,135,25,0.976,0.823,0.152
Qwen/Qwen2.5-Coder-7B-Instruct,./mutations/humanEval_lv_with_tests.jsonl,164,156,124,32,0.951,0.756,0.195
Qwen/Qwen2.5-Coder-7B-Instruct,./mutations/humanEval_SF_with_tests.jsonl,164,161,134,27,0.982,0.817,0.165
Qwen/Qwen2.5-Coder-7B-Instruct,./mutations/HumanEval_US_with_tests.jsonl,164,159,111,48,0.97,0.677,0.293
Qwen/Qwen2.5-Coder-7B-Instruct,./datasets/mbpp/mbpp.jsonl,974,774,488,286,0.795,0.501,0.294
Qwen/Qwen2.5-Coder-7B-Instruct,./mutations/mbpp_LV_with_tests.jsonl,974,751,473,278,0.771,0.486,0.285
Qwen/Qwen2.5-Coder-7B-Instruct,./mutations/mbpp_SF_with_tests.jsonl,974,770,477,293,0.791,0.49,0.301
Qwen/Qwen2.5-Coder-7B-Instruct,./mutations/mbpp_US_with_tests.jsonl,974,721,401,320,0.74,0.412,0.329
